Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2008-11-19 00:00:00-05:00,6.4022302127849615,6.591803831776492,4.9453983461877975,4.992791652679443,10955600,0.0,0.0,0.0
2008-11-20 00:00:00-05:00,4.809400660318981,5.172063308459852,3.915107624192914,3.943955659866333,19968400,0.0,0.0,0.0
2008-11-21 00:00:00-05:00,4.572432423973947,4.630128479238351,3.5174140695510525,4.555947780609131,19014400,0.0,0.0,0.0
2008-11-24 00:00:00-05:00,4.840308458634183,5.711934800218034,4.615704924794619,5.505876541137695,14030400,0.0,0.0,0.0
2008-11-25 00:00:00-05:00,5.777872733638569,5.8602959438351165,5.174122080283448,5.771690845489502,11441200,0.0,0.0,0.0
2008-11-26 00:00:00-05:00,5.415209843446511,6.855556669064481,5.371937415427814,6.797860622406006,14252400,0.0,0.0,0.0
2008-11-28 00:00:00-05:00,6.587683271049383,7.141980171203613,6.494957278036029,7.141980171203613,3981600,0.0,0.0,0.0
2008-12-01 00:00:00-05:00,6.451682905403408,6.538227375499656,4.430251831114117,4.63218879699707,14906800,0.0,0.0,0.0
2008-12-02 00:00:00-05:00,4.922731625762661,5.378120577347126,4.6218867596957205,5.324545383453369,15318800,0.0,0.0,0.0
2008-12-03 00:00:00-05:00,4.95570139923231,5.969508136687035,4.9103687198307675,5.835570335388184,27722400,0.0,0.0,0.0
2008-12-04 00:00:00-05:00,5.553270615571254,6.171445434683826,4.959822569129205,5.281273365020752,23481600,0.0,0.0,0.0
2008-12-05 00:00:00-05:00,5.0340030891465375,6.010719142862977,4.658977138612684,5.94271993637085,37032800,0.0,0.0,0.0
2008-12-08 00:00:00-05:00,6.420774307105035,6.913253342733975,6.301260551441009,6.721619129180908,28211600,0.0,0.0,0.0
2008-12-09 00:00:00-05:00,6.529987306553892,7.261494470346153,5.9612663801747665,6.148779392242432,28266400,0.0,0.0,0.0
2008-12-10 00:00:00-05:00,6.346593266630587,6.8473148236682215,6.196170854482416,6.560894012451172,23926000,0.0,0.0,0.0
2008-12-11 00:00:00-05:00,6.363079636398964,6.64537965838378,5.363697273511624,5.57799768447876,19806000,0.0,0.0,0.0
2008-12-12 00:00:00-05:00,5.124668666321614,6.179686648324978,5.091698985923158,6.113748073577881,40111600,0.0,0.0,0.0
2008-12-15 00:00:00-05:00,6.270353000222035,6.334230951646453,5.273030976774908,5.55327033996582,25721600,0.0,0.0,0.0
2008-12-16 00:00:00-05:00,5.8705988698895135,6.6433176180897835,5.833508325957114,6.560894012451172,27358400,0.0,0.0,0.0
2008-12-17 00:00:00-05:00,6.474647964826843,7.134905814754557,6.31371050007203,6.827473163604736,27246800,0.0105,0.0,0.0
2008-12-18 00:00:00-05:00,6.82128446623638,7.180298982460946,6.2167358350170865,6.658283233642578,22805200,0.0,0.0,0.0
2008-12-19 00:00:00-05:00,6.910006427726495,7.312350135432676,6.600510390046524,6.80890417098999,28224800,0.0,0.0,0.0
2008-12-22 00:00:00-05:00,6.879057131805733,6.9017536069010745,5.717416495259851,6.354977607727051,25004800,0.0,0.0,0.0
2008-12-23 00:00:00-05:00,6.499408463092512,6.602573676792393,5.936126490741735,6.0434184074401855,26145200,0.0,0.0,0.0
2008-12-24 00:00:00-05:00,6.097063267790735,6.231178344940173,5.880416501469973,6.13832950592041,9540400,0.0,0.0,0.0
2008-12-26 00:00:00-05:00,6.334343918768665,6.39417953467273,6.072304196405528,6.34466028213501,8625600,0.0,0.0,0.0
2008-12-29 00:00:00-05:00,6.317837230293577,6.398305963023185,5.764871677022168,6.000088214874268,16916400,0.0,0.0,0.0
