Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-12-08 00:00:00-05:00,237525.34978386166,246561.64026476943,235765.0334564121,244331.90625,30,0.0,0.0,0.0
2010-12-09 00:00:00-05:00,238933.6243622449,244742.66876594388,238757.59271364796,241515.421875,57,0.0,0.0,0.0
2010-12-10 00:00:00-05:00,244038.53495859815,248204.61718559032,238522.87679891835,240048.484375,49,0.0,0.0,0.0
2010-12-13 00:00:00-05:00,232479.11799676294,236997.2633995269,229603.93455864044,235647.6875,14,0.0,0.0,0.0
2010-12-14 00:00:00-05:00,234650.18019536114,238053.45862780197,231188.22454856787,235589.015625,13,0.0,0.0,0.0
2010-12-15 00:00:00-05:00,240165.82427503602,245212.06441372476,236117.096721902,244331.90625,12,0.0,0.0,0.0
2010-12-16 00:00:00-05:00,245974.86250291308,256654.11464402237,245974.86250291308,251783.90625,12,0.0,0.0,0.0
2010-12-17 00:00:00-05:00,250082.27285251924,256830.15210593073,248967.40584543388,251549.203125,3,0.0,0.0,0.0
2010-12-20 00:00:00-05:00,248087.24580864928,252840.09985559835,245857.51181131517,247617.828125,8,0.0,0.0,0.0
2010-12-21 00:00:00-05:00,246092.2550041332,251666.59077556684,245974.90056683987,248439.34375,2,0.0,0.0,0.0
2010-12-22 00:00:00-05:00,248145.93046441372,253896.2972616501,248145.93046441372,253720.265625,2,0.0,0.0,0.0
2010-12-23 00:00:00-05:00,253661.5916294905,255421.90801831416,246620.32607419582,249906.25,1,0.0,0.0,0.0
2010-12-27 00:00:00-05:00,249730.2114537445,257710.31219568747,249730.2114537445,253074.8125,4,0.0,0.0,0.0
2010-12-28 00:00:00-05:00,243275.71108100662,247793.85622168137,238933.59756918933,239579.046875,6,0.0,0.0,0.0
2010-12-29 00:00:00-05:00,238053.46875,240107.17133965984,235882.4117266453,238053.46875,1,0.0,0.0,0.0
2010-12-30 00:00:00-05:00,237349.3544777252,243041.04480759893,235941.10120023065,241691.46875,1,0.0,0.0,0.0
2010-12-31 00:00:00-05:00,239520.37541016593,240400.5335755634,234943.55295009908,236938.578125,4,0.0,0.0,0.0
2011-01-03 00:00:00-05:00,232889.87431144068,244918.70379842614,232889.87431144068,242336.90625,5,0.0,0.0,0.0
2011-01-04 00:00:00-05:00,247500.4512121733,263930.0686468363,246678.97034044017,255949.96875,9,0.0,0.0,0.0
