Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2009-04-14 00:00:00-04:00,43197.437839568454,44558.30534480751,41338.03471359826,43399.546875,586,0.0,0.0,0.0
2009-04-15 00:00:00-04:00,44207.98712393399,44666.10098014056,42442.90138384397,42658.484375,513,0.0,0.0,0.0
2009-04-16 00:00:00-04:00,42052.158288527804,44652.62818589591,41445.83111038498,42523.74609375,439,0.0,0.0,0.0
2009-04-17 00:00:00-04:00,42442.90628291073,42874.07231499109,40691.29427758425,41580.57421875,381,0.0,0.0,0.0
2009-04-20 00:00:00-04:00,43790.30299077839,47401.31874509489,43749.88117263306,47212.68359375,687,0.0,0.0,0.0
2009-04-21 00:00:00-04:00,48843.02412823933,48843.02412823933,43776.82355659299,44194.515625,499,0.0,0.0,0.0
2009-04-22 00:00:00-04:00,45043.37349317211,45946.127314303594,43022.282848847906,45757.4921875,435,0.0,0.0,0.0
2009-04-23 00:00:00-04:00,43790.291010167646,45932.64678574201,43183.96390387302,43399.546875,509,0.0,0.0,0.0
2009-04-24 00:00:00-04:00,41540.14999394788,41823.102686089594,38912.73213834625,40004.12109375,910,0.0,0.0,0.0
2009-04-27 00:00:00-04:00,42173.42161441629,43022.27962135183,40677.81464981559,42011.734375,556,0.0,0.0,0.0
2009-04-28 00:00:00-04:00,43237.868218546086,43493.873047512236,39815.48787341966,41297.62109375,489,0.0,0.0,0.0
2009-04-29 00:00:00-04:00,40273.60527206206,40273.60527206206,36864.698569542255,38265.98828125,738,0.0,0.0,0.0
2009-04-30 00:00:00-04:00,37376.7019822211,41284.14379002359,36985.95780144085,39977.171875,637,0.0,0.0,0.0
2009-05-01 00:00:00-04:00,39586.433180519714,40192.760441623665,35625.095074640616,36554.796875,1001,0.0,0.0,0.0
2009-05-04 00:00:00-04:00,36056.259336340205,36231.420536404636,32660.826842783506,32674.30078125,902,0.0,0.0,0.0
2009-05-05 00:00:00-04:00,33078.52318723886,35342.14514058148,32835.992263666434,33860.01171875,950,0.0,0.0,0.0
2009-05-06 00:00:00-04:00,32270.083694797697,32755.14549563808,29912.144385156946,30262.466796875,1037,0.0,0.0,0.0
2009-05-07 00:00:00-04:00,28120.10972714802,32445.243997591006,28106.635788610813,31461.646484375,819,0.0,0.0,0.0
2009-05-08 00:00:00-04:00,30006.45836966165,30006.45836966165,26651.447981675232,27527.25390625,1142,0.0,0.0,0.0
2009-05-11 00:00:00-04:00,28834.2271762886,30397.203976498637,28834.2271762886,29669.611328125,794,0.0,0.0,0.0
2009-05-12 00:00:00-04:00,28483.906346204112,30666.68441057737,28389.588775521315,28995.916015625,664,0.0,0.0,0.0
2009-05-13 00:00:00-04:00,30033.410388824424,32108.397019546253,29763.931605613798,31569.439453125,998,0.0,0.0,0.0
2009-05-14 00:00:00-04:00,32822.51549412049,32997.67670160143,30545.41979686829,31367.330078125,654,0.0,0.0,0.0
2009-05-15 00:00:00-04:00,32094.925952465503,33994.751544110186,31084.380424994928,33199.7890625,903,0.0,0.0,0.0
2009-05-18 00:00:00-04:00,32027.55027212079,32027.55027212079,29871.72021594101,29979.51171875,563,0.0,0.0,0.0
2009-05-19 00:00:00-04:00,29898.66494850852,30302.883041548295,28780.328224431818,29642.66015625,753,0.0,0.0,0.0
2009-05-20 00:00:00-04:00,28537.799066137035,29642.661919500228,27015.244158453617,29521.396484375,1071,0.0,0.0,0.0
2009-05-21 00:00:00-04:00,30774.47242005814,32701.24543059593,30626.25911155523,31865.861328125,962,0.0,0.0,0.0
2009-05-22 00:00:00-04:00,31070.89950811413,31865.861811227194,30181.619643614766,31758.0703125,588,0.0,0.0,0.0
2009-05-26 00:00:00-04:00,32741.668312542097,33536.63062959559,29656.136607368375,30006.458984375,773,0.0,0.0,0.0
2009-05-27 00:00:00-04:00,29642.66580240175,31057.42939751638,28497.380987308952,30855.3203125,807,0.0,0.0,0.0
2009-05-28 00:00:00-04:00,29898.67214735554,31057.430959736153,27379.045427411653,28214.4296875,1314,0.0,0.0,0.0
2009-05-29 00:00:00-04:00,27082.613116838867,27864.10145553372,26449.338083758557,26570.603515625,1285,0.0,0.0,0.0
2009-06-01 00:00:00-04:00,25708.275388423055,26058.59779937641,23417.705778343436,23902.767578125,1854,0.0,0.0,0.0
2009-06-02 00:00:00-04:00,24414.77457434433,24576.46182318105,23498.546830936266,23889.291015625,1804,0.0,0.0,0.0
2009-06-03 00:00:00-04:00,24670.77913637166,27190.405405351183,24589.93551276804,26233.755859375,2566,0.0,0.0,0.0
2009-06-04 00:00:00-04:00,25236.688603707946,26031.651031694473,24401.304357349218,24630.361328125,1899,0.0,0.0,0.0
2009-06-05 00:00:00-04:00,23929.711354447438,26004.69758675876,23835.393798433288,24994.15234375,2100,0.0,0.0,0.0
2009-06-08 00:00:00-04:00,25977.753956545064,26570.607262607296,24630.360079130904,25115.421875,1569,0.0,0.0,0.0
